AgencyID,Agency_Name,Standard_Name,Region,Region_Code,City
A088,City of FSJ- Kids Arena,City of FSJ- Kids Arena,Northeast,Northeast ,Fort St John
A088,City of FSJ Kids Arena Field,City of FSJ- Kids Arena,Northeast,Northeast ,Fort St John
A088,City of FSJ Kids Arena Field ,City of FSJ- Kids Arena,Northeast,Northeast ,Fort St John
A089,City of FSJ Pomeroy Centre,City of FSJ Pomeroy Centre,Northeast,Northeast ,Fort St John
A089,City of FSJ Pomeroy Centre ,City of FSJ Pomeroy Centre,Northeast,Northeast ,Fort St John
A089,City of FSJ- Pomeroy Sports,City of FSJ Pomeroy Centre,Northeast,Northeast ,Fort St John
A090,City of Prince George,City of Prince George,Cariboo , TNC,Prince George
A090,City of Prince George  (Civic Centre),City of Prince George,Cariboo , TNC,Prince George
A090,City of Prince George (City Hall),City of Prince George,Cariboo , TNC,Prince George
A090,City of Prince George  (Civic Centre),City of Prince George,Cariboo , TNC,Prince George
A091,City of Prince Rupert,City of Prince Rupert,North Coast,North,Prince Rupert
A092,City of Terrace,City of Terrace,Lower Mainland ,LMVI,Vancouver
A093,City of Vancouver,City of Vancouver,Lower Mainland ,LMVI,Vancouver
A093,City of Vancouver (Rachel P.U),City of Vancouver,Lower Mainland ,LMVI,Vancouver
A094,CityReach Care Society,CityReach Care Society,Lower Mainland , LMFV,Vancouver
A095,Clark Wilson,Clark Wilson,Lower Mainland , LMFV,Vancouver
A096,Clayton,Clayton,Lower Mainland ,LMFV ,Surrey
A097,Cloverdale Community Kitchen (Pacific Community Church),Cloverdale Community Kitchen (Pacific Community Church),Lower Mainland ,LMFV ,Surrey
A098,CNC Campus,CNC Campus,Cariboo , TNC,Prince George
A098,CNC Campus ,CNC Campus,Cariboo , TNC,Prince George
A098,CNC Student Union,CNC Campus,Cariboo , TNC,Prince George
A098,CNC Student union ,CNC Campus,Cariboo , TNC,Prince George
A098,CNVI,CNC Campus,Cariboo , TNC,Prince George
A099,Coast Foundation Society,Coast Foundation Society,Lower Mainland , LMFV,Vancouver
A100,Coast Mental Health (Pacific Coast Apartments),Coast Mental Health (Pacific Coast Apartments),Lower Mainland , LMFV,Vancouver
A101,Coast Mountain College,Coast Mountain College,North Coast,North,Terrace
A101,Coast Mountain SD 82,Coast Mountain College,North Coast,North,Terrace
A102,Collingwood Neighbourhood House,Collingwood Neighbourhood House,Lower Mainland , LMFV,Vancouver
A102,Community Collection Drive (Oct 2020 - Mar 2021),Collingwood Neighbourhood House,Lower Mainland , LMFV,Vancouver
A103,Community Connections ,Community Connections ,Thompson Okanagan , SIBC,
A104,Community Connections Society of South East BC,Community Connections Society of South East BC,Kootenay , SIBC,Cranbrook
A105,Cathedral Church of St Michael & All Angels  ,Community in Faith.  -  United Church Food Bank ,Kootenay , SIBC,Cranbrook
A105,Community in Faith.  -  United Church Food Bank ,Community in Faith.  -  United Church Food Bank ,Kootenay , SIBC,Cranbrook
A105,Community Savings,Community in Faith.  -  United Church Food Bank ,Kootenay , SIBC,Cranbrook
A106,Comox Valley Transition Society,Comox Valley Transition Society,Vancouver Island ,CNVI,
A107,Connective - Elmbrook,Connective - Elmbrook,Lower Mainland ,LMFV,Vancouver
A108,Connective Support Society,Connective Support Society,Lower Mainland ,LMFV,Vancouver
A109,Cook's Ferry,Cook's Ferry,Cariboo , TNC,
A110,Cowichan Green Community Foundation,Cowichan Green Community Foundation,Vancouver Island ,CNVI,
A111,Cowichan Lake Community Services Society,Cowichan Lake Community Services Society,Vancouver Island , CNVI,Duncan
A112,Cowichan Valley Metis,Cowichan Valley Metis,Vancouver Island , CNVI,Duncan
A113,Cowichan Valley Youth Services ,Cowichan Valley Youth Services ,Vancouver Island , CNVI,Duncan
